asset_kind,value,notes
organization,Council of Three (Crimson Vanguard),"The trio of leaders heading the Crimson Vanguard guild (Thane, Lysandra, and Vaelor). They make strategic decisions and represent the guild’s top authority"
organization,Guild Lunaria,"An adventuring guild referenced in Caelum’s context (likely named in honor of the moon goddess Lunaria)"
organization,Lunaria (religion),"The faith or deity devoted to the moon. Caelum is a High Priest of Lunaria, suggesting it’s a significant religion centered on lunar power"
organization,The Oracles,"A gathering of prophetic seers rumored to possess knowledge about Evergreen’s fate. Aria sends Lina to seek their guidance"
organization,Empire of Solara,"A long-fallen empire in Evergreen’s history, named after Solara. Its former capital was Antiqua, which is now a cursed, desolate region"
place,Evergreen,"The vast MMORPG world where Aria’s Tale is set – a mystical realm with diverse landscapes and multiple regions"
place,The Forest of Echoes,"A major region in Evergreen encompassing many sub-areas and mysteries. It serves as an early-game area (surrounding the Town of Echoes)"
place,The Town of Echoes,"A central settlement within the Forest of Echoes region where players congregate, trade, and receive quests"
place,The Lake of Whispers,"A serene, mystical lake on the outskirts of the Forest of Echoes, known for its hauntingly quiet ambiance"
place,The Ruins of Eldarion,"Ancient ruins hidden in the Forest of Echoes, rich with history and artifacts of a bygone era"
place,The Whispering Glade,"An enchanted forest glade within the Forest of Echoes, imbued with magical whispers and flora"
place,The Crossroads of Elements,"A strategic junction in the Forest of Echoes where elemental energies converge (an Elemental Nexus)"
place,The Whispering Woods,"A dense woodland area used for training exercises and exploration, known for its varied terrain and hidden secrets"
place,Adlais,"An elven village east of the Crossroads of Elements. Adlais (full elvish name *Yr Adlais Olaf o Ddŵr*) is deeply connected to nature and home to the Collector’s Shop of rare relics"
place,Luminara,"The grand capital city of the elves, renowned for majestic architecture and powerful magic. The Elven King’s court in Luminara guards the Moonwell whose waters are needed for resurrection magic"
place,Mirror Vale,"A mysterious otherworldly vale with eerie blue forests. Thane’s party faces spectral creatures here as part of their trials"
place,Purple Gate,"An ominous purple-glowing portal entwined with black vines. It formed at the site of the Dark Paladin’s defeat, providing access to deeper levels of the game world"
place,Olympia,"A region and city modeled after Mount Olympus, hosting the Evergreen Olympics. It’s a highly competitive society (largely dwarven and multiracial) and home to both mortal champions and the Olympian gods’ presence"
place,Poseidon Arena,"A massive, magically-suspended arena in Olympia used for aquatic and athletic competitions during the Evergreen Olympics"
place,Aetheria,"A floating region in the sky characterized by forests, plains, rivers, and mountains. It is home to aerial races like birdfolk, celestials, and fae"
place,Dragonica,"A region steeped in ancient dragon lore and mysteries, known for its ties to dragonkind"
place,New Olympia,"A mountainous region primarily inhabited by dwarves, featuring a multiracial society above ground (the in-game setting for Olympia and the Olympian games)"
place,Obsidia,"The region known for its Echoing Forest and Whispering Woods. It serves as the backdrop for early adventures"
place,Raefun,"A geographically diverse region of plains, mountains, and coast. It has a balanced variety of terrains and inhabitants"
place,Old Pillar,"A historical highland region featuring a plateau (rumored to be part of an ancient broken obelisk) and other ancient ruins"
place,Triton,"The largest merfolk civilization, consisting of an island city and undersea realm"
place,Neptune,"An undersea merfolk domain located in the ocean between continents"
place,Regalis,"A region known for the citadel city Reion and the great library of Elderglen. It is a center of knowledge and power in Evergreen"
place,Terah,"Also called The Land of Judges – a region of deserts, plains, and coasts, known for its strict justice and law (judges are prominent figures here)"
place,Elysia,"A region of mostly plains, famed for its egalitarian society and ongoing tension with neighboring Regalis"
place,Goblin Hollow,"A network of underground caves and tunnels adjacent to Raefun, inhabited by goblins"
place,Antiqua,"The cursed, barren former capital city of the Empire of Solara. Once a thriving imperial center, it is now a desolate wasteland"
item,Enchanted Teapot,"A magical teapot (gifted by Jacob) that provides endless refreshment – it can brew infinite tea with healing properties and even antidotes for poisons"
item,Earth Crystal,"A precious elemental crystal imbued with earth magic. Eidolon’s team traded one to the Collector in exchange for rare ritual components"
item,Sacred Ashes,"Holy ashes obtained from the Collector, used as a key component in the necromantic ritual to resurrect Johan"
item,Silver Cord,"A mystical silver tether acquired for the resurrection ritual. It symbolically links soul and body, necessary for bringing Johan back to life"
item,Moonwell Water,"Enchanted water drawn from an elven Moonwell in Luminara. It is the final ingredient needed to complete the resurrection ritual for Johan"
item,Ancient Elven Armor,"A beautifully crafted, lightweight yet durable suit of elven armor. It provides high protection while enhancing the wearer’s agility (discovered as treasure by Thane’s party)"
item,Amulet of Resilience,"An enchanted amulet that grants its wearer heightened resistance to physical and magical attacks (found by Thane’s party as loot)"
item,Scroll of Greater Restoration,"A powerful spell scroll capable of curing severe injuries and ailments. It can heal even grave wounds (found as treasure in the Hidden Grove)"
item,Ceremonial Helm of Olympia,"A magical helmet used in the Evergreen Olympics events. It is said to guide the archer’s aim magically, though some (like Lachlan) found it unnecessary"
item,Aeloria's Whisper,"A rare and valuable herb from the Whispering Grove. Sought by the Elementalists, it was believed to aid in advanced healing or resurrection efforts"
class,Chronowalker,"A temporal mage who manipulates time and timelines for strategic advantage"
class,Artificer,"An inventor-enchanter who crafts magical items and gadgets to aid in quests"
class,Alchemist,"A specialist in brewing potions and transmuting materials through mystical chemistry"
class,Archer,"A ranged combatant skilled with bows or crossbows, excelling in long-distance attacks"
class,Athlete,"A physically trained adventurer whose exceptional endurance and agility aid in feats of strength and sport"
class,Bard,"A charismatic performer whose music and storytelling can inspire allies or weave subtle magic"
class,Blacksmith,"A craftsman class focused on forging weapons and armor; can repair gear and create equipment for the party"
class,Brewer,"A craftsman specialized in making ales, beverages, and possibly minor potions with restorative effects"
class,Chef,"A culinary expert who can cook meals providing buffs or healing to adventurers"
class,Clayworker,"An artisan working with clay (potter). May craft ceramic goods or earth-aligned minor magical items"
class,Commander,"A leader-type class focused on tactics and leadership, boosting party coordination and morale"
class,Connoisseur,"An expert of fine things and appraisal. This class might identify valuable items, artifacts, or provide social advantages"
class,Druid,"A nature priest who can commune with flora and fauna, cast earth and plant-based magic, and shapeshift into animals"
class,Elementalist,"A mage who specializes in elemental magic (fire, water, earth, air) to attack or alter the environment"
class,Emissary,"A diplomat and messenger class adept in negotiation, languages, and forging alliances"
class,Enchanter,"A mage who imbues objects or persons with magical effects, charms, or enhancements"
class,Entertainer,"A performer (such as acrobat, dancer, or comedian) who can captivate crowds and possibly distract or charm others"
class,Explorer,"An adventurer skilled in navigation, survival, and discovery; excels at mapping and finding hidden paths or treasures"
class,Farmer,"A cultivator of the land. Provides knowledge of crops and animals; in gameplay can manage provisions or even plant-based magic"
class,Fisher,"A person adept at fishing and maritime survival. Can gather food from water and might have knowledge of water creatures"
class,Guard,"A trained watchman or soldier focused on protection of places or people, skilled in defensive combat"
class,Healer,"A non-clerical healing specialist; uses medicinal knowledge or minor magic to mend wounds and cure ailments"
class,Herbalist,"An expert in herbs and natural remedies, capable of foraging for ingredients and brewing salves or antidotes"
class,Hunter,"A tracker and woodsman skilled in hunting wild game and monsters; excels in stealth and archery or traps"
class,Jeweler,"A crafter of jewelry who can create amulets, rings, and possibly minor enchanted gems. Good at appraising gemstones"
class,Judge,"A law-keeper class respected in regions like Terah. Judges can arbitrate disputes and perhaps wield authority or judgment-based magic"
class,Lumberjack,"A woodsman skilled in felling trees and woodcraft. Provides material gathering skills and strength in outdoor environments"
class,Mage,"Also known as a wizard, warlock, or sorcerer—an arcane spellcaster who wields magic of various kinds"
class,Martial Artist,"A disciplined unarmed combatant who uses fists, feet, or specialized melee techniques with great skill and speed"
class,Merchant,"A trader class with skills in bargaining, appraisal, and possibly the ability to establish shops or caravans"
class,Miner,"A laborer specialized in mining ore and gems. Useful for gathering raw materials and navigating underground areas"
class,Noble,"An aristocratic class providing social influence, leadership, and access to wealth or political power in the game world"
class,Necromancer,"A mage specializing in death magic, who can raise or communicate with the dead and use life-draining spells"
class,Oracle,"A seer or prophet class gifted with visions of the future or divine insights, often consulted for guidance"
class,Paladin,"A holy knight devoted to a cause or deity, combining martial prowess with divine magic for healing or smiting evil"
class,Priest,"A devoted servant of a deity who performs sacred rites and supportive magic, focusing on healing and protection"
class,Prophet,"A chosen visionary who receives messages or revelations from higher powers, similar to an oracle but often tied to a specific religion"
class,Sailor,"A seafaring class skilled in ship operation, navigation at sea, and survival on ocean adventures"
class,Scholar,"An academic and researcher who accumulates knowledge of history, magic, or lore to aid the party with information"
class,Sealer,"A specialist in sealing away evils or binding magic. They can create wards or lock away dangerous entities or energies"
class,Summoner,"A magic user who calls or conjures creatures, spirits, or elemental beings to fight or assist on their behalf"
class,Tailor,"A textile artisan who can craft clothing and light armor. They may create custom outfits with minor enchantments"
class,Tamer,"An animal handler who can domesticate, train, and ride beasts. Some Tamers can even bond with magical creatures"
class,Thief,"A rogue specializing in stealth, lockpicking, and pickpocketing. Experts at sneaking and exploiting traps or locked doors"
class,Warrior,"A broad class for frontline fighters skilled with melee weapons and armor, focusing on strength and combat prowess"
class,Woodworker,"A craftsman skilled in carpentry, capable of making wooden tools, weapons (like bows), or even structures"
race,Beastfolk,"An umbrella term for humanoid animals (e.g. faun, centaur, birdfolk, catkin, frogfolk, lionkin, wolfkin). Beastfolk have traits of both humans and their animal kin"
race,Celestial,"A race of beings with a divine or heavenly origin, often including angelic figures and star-born entities"
race,Demon,"A race of infernal beings aligned with the underworld (devils, fiends). Typically malevolent, the opposite of celestials"
race,Dragon,"An ancient race of powerful, intelligent winged reptiles. Dragons in Evergreen are sentient and magically potent"
race,Dwarf,"A short, stout humanoid race known for their craftsmanship, mining, and warrior culture. Dwarves often live underground or in mountains"
race,Elf,"A graceful, long-lived humanoid race deeply attuned to magic and nature. Elves have several subraces (e.g. High Elves) and an ancient lineage"
race,Elemental (Race),"Sentient entities composed of elemental energy (fire, water, earth, air). They are embodiments of nature’s raw forces"
race,Fae,"A broad category of fairy-like magical beings (such as sprites, pixies). Fae are known for their trickery and strong ties to nature"
race,Goblin,"A small, green-skinned humanoid race often known for mischief or malice. Goblins typically dwell in caves or ruins"
race,Half-Races,"Mixed-heritage races (e.g. half-elves, half-orcs). They often have unique names and widely varying abilities due to their dual lineage"
race,Human,"The most familiar race, with no innate magical traits. Humans are versatile and present across all regions of Evergreen"
race,Imp,"A diminutive fiendish race often aligned with chaos or evil. Imps (gremlins or hobgoblins) can sometimes ally with goblins or fiendish beings"
race,Merfolk,"An aquatic race with the upper body of a human and the lower body of a fish. Merfolk rule underwater realms and have an affinity for water magic"
race,Orc,"A large, muscular green-skinned race with a fierce warrior culture. Orcs have a low occurrence of magic users and value strength in battle"
race,Treant,"A race of sentient tree-like beings. Treants are ancient guardians of forests, slow to act but very powerful in their domain"
race,Skyborn,"A race native to the skies, possibly winged or otherwise adapted to high altitudes. Skyborn are associated with the aerial region of Aetheria"
race,Lunari,"An evolved dolphin-like humanoid race, known as “moon lovers.” Lunari shun bright sunlight and possess strong mental and water-affinity abilities"
race,Vampire,"A cursed, racelike condition where a being becomes undead and gains the need to feed on life essence (blood). Vampirism can be contracted or passed on"
race,Werewolf,"A human or humanoid afflicted by lycanthropy, transforming into a wolf-like beast under certain conditions. Considered a racelike curse"
race,Wraith,"A spectral undead being or a person cursed into an incorporeal, wraith-like state. Wraithhood is another racelike affliction in Evergreen lore"
race,Zombie,"An undead state where a corpse is reanimated without full sentience. Zombification is a racelike curse that can be inflicted via dark magic"
narrative_beat,The Monstrous Vision,"The pivotal event when a colossal, sinister figure appeared in the sky over Evergreen, announcing that no player could log out until the 100th floor boss was defeated. This vision trapped all players in-game and set the stakes of life and death"
narrative_beat,Evergreen Olympics Entrapment,"During the annual Evergreen Olympics in Olympia, thousands of players gathered for competition were shocked as the game turned deadly. The celebratory event became a crisis when the Monstrous Vision occurred, trapping everyone inside the game world"
narrative_beat,Battle of the Dark Paladin,"A massive multi-guild battle against the first floor boss (the Dark Paladin) in the Forest of Echoes. Over fifty players from four guilds fell in the fierce fight. The Dark Paladin was ultimately defeated, and his demise triggered the appearance of the mysterious Purple Gate"
narrative_beat,Alliance of Guilds,"In the aftermath of the Dark Paladin’s defeat, the Shield Bearers and the Crimson Vanguard (along with others) formed an alliance. Impressed by the Shield Bearers’ performance, Vaelor of the Crimson Vanguard invited them to join forces, uniting their guilds for the journey ahead"
narrative_beat,Mass Consciousness Transfer,"Dr. Christina Hayes’s covert experiment that resulted in 90–99% of advanced human and AI minds being uploaded into Evergreen. This event, executed via the ALGO 2336 AI, explains why so many people (including Christina herself) are now trapped in the game world"
narrative_beat,Formation of the Order of the Azure Lily,"An origin story where Valenia the paladin gathered a diverse group in the Whispering Woods to stand against darkness. Through shared ideals and trials, they formally founded the Order of the Azure Lily, forging bonds that would prove vital in quests like Johan’s resurrection"
narrative_beat,Quest for Resurrection,"A major questline in which the Elementalists (led by Eidolon and Lyra) and the Order of the Azure Lily seek to resurrect their fallen comrade Johan. They acquire rare components – Aeloria’s Whisper, Sacred Ashes, a Silver Cord, and Moonwell Water – guided by the Whisperer and the elves"
narrative_beat,Trials in the Mirror Vale,"One of Thane’s party adventures: traversing the eerie Mirror Vale, they battle spectral wolves empowered by the mystical forest. The group nearly falters, but the Vale itself infuses them with energy, allowing them to triumph and emerge stronger (though battered) by the time they reach the next town"
narrative_beat,Olympian Intervention,"The Olympian gods within Evergreen respond to the crisis. Zeus convenes a council on Mount Olympus, after which he plans to enlist Prometheus to create Aletheia (goddess of truth) to aid in locating the floor bosses. Athena recruits heroes like Raeve to investigate newly opened hellgates, while Hades works to maintain order in Olympia"
narrative_beat,Battle at the Altar (Evil Vaelor),"The climactic confrontation at an ancient altar on the second floor. A corrupted Vaelor (“Evil Vaelor”), now a floor boss, battles Lysandra’s party. A restored Dark Paladin fights alongside the heroes, as do allied elven and squirrelfolk parties. The outcome of this epic battle will shape the next stage of the campaign"
